site_name,site,lat,long,state
Ames,ames,42.0206687,-93.775165,IA
McNay,mcna,40.9729,-93.4244,IA
Nashua,nash,42.9321,-92.5723,IA
DeKalb,deka,41.83949,-88.85999,IL
Monmouth,monm,40.933945,-90.72655499999999,IL
Dixon Springs Bottomland,dslo,37.425305,-88.66396,IL
