pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Clayey,,Loess,,13614657,19111895
NA,Clayey,,Loess,,13614658,19111896
NA,Clayey,,Loess,,13614724,19111984
NA,Clayey,,Loess,,13614725,19111985
2,,gray paleosol and underlying,Subglacial till,,13614733,19111995
1,Clayey,,Loess,,13614733,19111996
NA,Clayey,,Loess,,13614814,19112107
NA,,,Loess,,13614892,19112218
NA,,,Loess,,13614895,19112222
2,,,Pedisediment,,13614896,19112223
1,,,Loess,,13614896,19112224
3,,,Till,,13614896,19112225
