shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Concave,Concave,28603447,16746723
Convex,Linear,28603449,16746694
Concave,Concave,28603591,16746834
Concave,Concave,28603660,16746767
Concave,Concave,28603758,16746687
Concave,Concave,28603760,16746835
Linear,Linear,28603824,16746665
Linear,Convex,28603908,16746968
Linear,Convex,28603911,16746737
Convex,Linear,28604054,16746722
Convex,Convex,28604069,16746738
