taxminalogy,cokey,cotaxfmminkey
smectitic,18658362,14692206
smectitic,18658363,14692290
smectitic,18658439,14692360
smectitic,18658440,14692359
smectitic,18658441,14692289
smectitic,18658603,14692278
smectitic,18658604,14692422
smectitic,18658605,14692425
smectitic,18658606,14692426
