areaovacres,lareaovkey,mukey,muareaovkey
4171,423955,408896,25288795
4171,423956,408896,25288796
4171,423957,408896,25288797
4171,423958,408896,25288798
4171,423959,408896,25288799
9526,423955,408925,25288590
9526,423956,408925,25288591
9526,423957,408925,25288592
9526,423958,408925,25288593
9526,423959,408925,25288594
19680,423955,408926,25288585
19680,423956,408926,25288586
19680,423957,408926,25288587
19680,423958,408926,25288588
19680,423959,408926,25288589
