erokind,rvindicator,cokey,coeroacckey
Sheet erosion,Yes,18658362,1374970
Sheet erosion,Yes,18658363,1374971
Sheet erosion,Yes,18658439,1375031
Sheet erosion,Yes,18658440,1375032
Sheet erosion,Yes,18658441,1375033
Sheet erosion,Yes,18658603,1375154
Sheet erosion,Yes,18658604,1375155
Sheet erosion,Yes,18658605,1375156
Sheet erosion,Yes,18658606,1375157
