aashtocl,rvindicator,chkey,chaashtokey
A-4,No ,54694489,89369981
A-6,Yes,54694489,89369982
A-7-6,No ,54694489,89369983
A-4,No ,54694490,89369984
A-6,Yes,54694490,89369985
A-7-6,No ,54694490,89369986
A-7-6,Yes,54694491,89369987
A-7-5,No ,54694491,89369988
A-7-6,Yes,54694492,89369989
A-6,Yes,54694493,89369990
A-7-6,No ,54694493,89369991
A-7-6,Yes,54694494,89369992
A-6,No ,54694494,89369993
A-7-6,Yes,54694495,89369994
A-6,No ,54694495,89369995
A-7-6,Yes,54694496,89369996
A-6,No ,54694496,89369997
A-7-6,Yes,54694497,89369998
A-6,No ,54694795,89370456
A-7-6,Yes,54694795,89370457
A-6,No ,54694796,89370458
A-7-6,Yes,54694796,89370459
A-7-6,Yes,54694797,89370460
A-7-6,Yes,54694798,89370461
A-7-6,Yes,54694799,89370462
A-7-6,Yes,54694800,89370463
A-7-6,Yes,54694801,89370464
A-7-6,Yes,54694802,89370465
A-6,No ,54694802,89370466
A-7-6,Yes,54694803,89370467
A-6,No ,54694803,89370468
A-6,No ,54694804,89370469
A-7-6,Yes,54694804,89370470
A-7-6,Yes,54694805,89370471
A-4,No ,54694806,89370472
A-7-6,Yes,54694806,89370473
A-6,Yes,54694807,89370474
A-4,No ,54694807,89370475
A-7-6,Yes,54695483,89371507
A-7-6,Yes,54695484,89371508
A-7-6,Yes,54695485,89371509
A-7-6,Yes,54695486,89371510
A-7-6,Yes,54695487,89371511
A-7-6,Yes,54695488,89371512
A-7-6,Yes,54695489,89371513
A-6,Yes,54695490,89371514
A-7,No ,54695490,89371515
A-7-6,Yes,54695491,89371516
A-6,Yes,54695492,89371517
A-7,No ,54695492,89371518
A-7-6,Yes,54695493,89371519
A-7-6,Yes,54695494,89371520
A-7-6,Yes,54695495,89371521
A-7-6,Yes,54695496,89371522
A-7-6,Yes,54695497,89371523
A-6,No ,54695497,89371524
A-7-6,Yes,54695498,89371525
A-7-6,Yes,54695499,89371526
