reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Abrupt textural change,Noncemented,18,20,27,27,36,41,9,16,23,18658362,5162239
Abrupt textural change,Noncemented,18,18,30,30,33,55,10,15,37,18658439,5162251
Abrupt textural change,Noncemented,24,28,33,33,48,65,9,20,32,18658603,5162273
