texcl,lieutex,chtgkey,chtkey
Silty clay loam,,109657955,111554978
Silt loam,,109657956,111554977
Silty clay loam,,109657958,111555250
Silty clay loam,,109658468,111554836
Silty clay,,109658471,111554698
Silty clay,,109657957,111555526
Silty clay loam,,109657959,111555527
Silty clay loam,,109658469,111554837
Silty clay,,109658470,111554697
Silty clay loam,,109658472,111554972
Silt loam,,109658478,111555518
Silt loam,,109657960,111555248
Silty clay,,109657961,111555525
Silty clay loam,,109657962,111555249
Silty clay loam,,109657963,111555524
Silty clay,,109657964,111555523
Silty clay loam,,109658463,111555247
Silt loam,,109658464,111554974
Silty clay loam,,109658465,111554975
Silty clay,,109658466,111554699
Silty clay,,109658467,111555521
Silty clay,,109659686,111554502
Clay,,109659687,111554367
Silty clay loam,,109659690,111556348
Silty clay loam,,109659701,111554218
Silty clay,,109659705,111554508
Silty clay loam,,109659706,111556491
Clay,,109659707,111556492
Silty clay,,109659684,111556350
Clay,,109659685,111556107
Silty clay,,109659688,111555836
Clay,,109659689,111554217
Silty clay,,109659699,111554368
Silty clay loam,,109659700,111554369
Silty clay loam,,109659702,111556494
Clay,,109659703,111554509
Silty clay,,109659704,111556493
Silty clay loam,,109659683,111556349
Silty clay loam,,109659708,111554507
Clay loam,,109659709,111554223
Clay,,109659710,111554224
Silty clay loam,,109659711,111554372
Silty clay,,109659712,111554373
Silty clay loam,,109659713,111554374
Silt loam,,109657954,111554976
Silty clay loam,,109658473,111554973
Silty clay loam,,109658474,111555868
Silty clay,,109658475,111555519
Clay,,109658476,111555520
Silt loam,,109658477,111555522
Silty clay loam,,109659691,111554955
Silty clay,,109659692,111554956
Silty clay loam,,109659693,111554957
Silt loam,,109659694,111554675
Silty clay loam,,109659695,111554820
Silty clay loam,,109659696,111554676
Silty clay loam,,109659697,111554503
Silt loam,,109659698,111554370
