structgrpname,rvindicator,chkey,chstructgrpkey
moderate fine granular structure,Yes,54694489,29900739
weak fine subangular blocky structure,Yes,54694490,29900740
moderate medium subangular blocky structure,Yes,54694491,29900087
moderate medium prismatic structure,Yes,54694492,29900682
structureless massive structure,Yes,54694493,29900088
weak fine granular structure,Yes,54694494,29900086
moderate fine subangular blocky structure,Yes,54694495,29900738
weak fine prismatic structure,Yes,54694496,29900737
moderate fine subangular blocky structure,Yes,54694497,29900681
weak fine prismatic structure,Yes,54694795,29900820
weak fine granular structure,Yes,54694796,29900084
moderate fine subangular blocky structure,Yes,54694797,29900679
moderate fine subangular blocky structure,Yes,54694798,29900819
moderate fine granular structure,Yes,54694799,29900734
moderate fine subangular blocky structure,Yes,54694800,29900735
moderate fine subangular blocky structure,Yes,54694801,29900736
moderate fine subangular blocky structure,Yes,54694802,29900083
structureless massive structure,Yes,54694803,29900678
massive,Yes,54694804,29900085
"weak fine angular blocky structure, and weak medium subangular blocky structure",Yes,54694805,29900680
moderate medium granular structure,Yes,54694806,29900821
weak thick platy structure parts to weak fine subangular blocky structure,Yes,54694807,29900822
weak fine subangular blocky structure,Yes,54695483,29900011
moderate fine subangular blocky structure,Yes,54695484,29899879
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,54695485,29900281
weak medium prismatic structure,Yes,54695486,29900280
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,54695487,29899878
weak fine subangular blocky structure parts to moderate fine granular structure,Yes,54695488,29900785
weak medium prismatic structure parts to weak fine subangular blocky structure,Yes,54695489,29900786
massive,Yes,54695490,29900787
moderate fine granular structure,Yes,54695491,29900788
massive,Yes,54695492,29900283
weak medium prismatic structure parts to weak fine subangular blocky structure,Yes,54695493,29900282
moderate fine granular structure,Yes,54695494,29899880
moderate fine subangular blocky structure,Yes,54695495,29900014
moderate fine subangular blocky structure,Yes,54695496,29899883
moderate coarse prismatic structure,Yes,54695497,29900418
moderate fine granular structure,Yes,54695498,29900416
moderate fine subangular blocky structure,Yes,54695499,29900417
