pmgroupname,rvindicator,cokey,copmgrpkey
clayey loess,Yes,18658362,13614814
clayey loess,Yes,18658363,13614725
clayey loess,Yes,18658439,13614658
clayey loess,Yes,18658440,13614657
clayey loess,Yes,18658441,13614724
clayey loess over gray paleosol and underlying subglacial till,Yes,18658603,13614733
loess,Yes,18658604,13614892
loess,Yes,18658605,13614895
loess over pedisediment over till,Yes,18658606,13614896
