hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
A,NA,A,NA,NA,20,20,24,24,28,33,NA,8,NA,0,0,0,0,0,0,100,100,100,94,96,100,91,96,100,87,93,100,0,5,7,0,0,0.1,0,0.1,0.2,0,0.3,0.5,0.2,1.4,2,1.5,3.2,5,55,62,73,24,36,44,20,26,30,27,33,38,0,0,0,2,3,3.5,NA,NA,NA,1.28,1.33,1.38,NA,NA,NA,1.48,1.53,1.64,NA,1,3,10,0.16,0.16,0.2,NA,NA,NA,30,32.8,35.2,16.2,20.6,24.2,42,44,47,3.4,4.7,7,41,49,55,19,23,27,17,24,32,0.43,0.43,0,0,0,0,0,0,0,0,0,0,1,2,21.9,26.4,30,NA,NA,NA,18.4,23.9,29.7,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6.9,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658603,54695483
2Bt,2,B,NA,NA,24,28,33,33,48,65,NA,20,NA,0,0,0,0,0,0,100,100,100,94,96,100,89,95,100,82,91,100,0,8,12,0,0.3,0.5,0,0.5,1,0,0.9,1.2,0.5,2.5,3,1.5,3.8,5,33,45,60,20,26,35,15,19,25,40,47,55,0,0,0,0,0.25,0.5,NA,NA,NA,1.3,1.38,1.45,NA,NA,NA,1.69,1.77,1.9,NA,0.01,0.04,0.1,0.1,0.11,0.14,NA,NA,NA,29.4,31.9,34.8,20.8,25,30.1,41,44,48,6.3,8.5,11.1,50,57,66,29,34,41,24,34,47,0.32,0.32,0,0,5,0,0,0,0,0,0,0,1,2,26.3,33,38.7,NA,NA,NA,24.3,30.7,77.7,5.1,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,8.6,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658603,54695484
2Btg,2,B,NA,NA,33,48,65,65,170,185,NA,122,NA,0,0,0,0,0,0,100,100,100,94,96,100,88,95,100,81,91,100,0,7,12,0,0.3,0.5,0,0.4,1,0,0.8,1.2,0.5,2.1,3,1.5,3.4,5,28,40,56.5,20,24,35,15,16,25,40,53,60,0,0,0,0,0.25,0.5,NA,NA,NA,1.28,1.32,1.36,NA,NA,NA,1.73,1.77,1.89,NA,0.01,0.04,0.1,0.08,0.08,0.14,NA,NA,NA,29.2,33.3,35.8,20.5,27.7,32.2,45,47,49,6.3,10.1,12.5,50,64,71,29,39,44,24,39,51,0.28,0.28,0,0,5,0,0,0,0,0,0,0,1,2,26.3,36.6,41.7,NA,NA,NA,24.3,33.9,80.7,5.1,6,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,7.7,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658603,54695485
2BC,2,BC,NA,NA,65,170,185,200,200,200,NA,30,NA,0,0,0,0,0,0,100,100,100,95,96,100,90,95,100,84,91,100,0,8,12,0,0.3,0.5,0,0.5,1,0,0.9,1.2,0.5,2.9,3.2,1.5,3.4,5,38,47,60,20,25,35,15,22,25,40,45,50,0,0,0,0,0.25,0.5,NA,NA,NA,1.43,1.46,1.48,NA,NA,NA,1.82,1.85,1.94,NA,0.01,0.04,0.1,0.11,0.12,0.14,NA,NA,NA,29.7,31.5,33.8,21.2,24.3,27.9,41,42,44,6.3,8.1,9.7,50,55,61,29,33,37,25,32,42,0.37,0.37,0,0,5,0,0,0,0,0,0,0,1,2,26.3,31.8,35.6,NA,NA,NA,25.4,30.3,74.6,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,5.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658603,54695486
Ap,NA,A,NA,NA,0,0,0,20,20,24,NA,20,NA,0,0,0,0,0,0,100,100,100,94,96,100,92,96,100,88,94,100,0,4,6,0,0,0.1,0,0,0.1,0,0.1,0.3,0.2,0.9,1.5,1.5,3,5,56,64,73,24,38,44,20,26,30,27,32,38,0,0,0,2,3.2,3.5,NA,NA,NA,1.37,1.4,1.42,NA,NA,NA,1.57,1.6,1.72,NA,1,3,10,0.16,0.16,0.2,NA,NA,NA,30.5,33.2,35.8,17,21.4,25.4,41,42,44,3.4,4.5,7,41,48,55,19,22,27,17,23,32,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1,2,21.9,25.8,30,NA,NA,NA,18.4,23.5,29.7,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6.9,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658603,54695487
AB,NA,AB,NA,NA,15,20,25,25,33,55,NA,13,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,92,97,100,0,4,8,0,0,0.5,0,0.1,0.5,0,0.3,1,0.5,1.2,2,1,2.4,3,54,62,72,NA,NA,NA,NA,NA,NA,28,34,38,0,0,0,2,2.5,3,NA,NA,NA,1.29,1.33,1.37,NA,NA,NA,1.5,1.54,1.63,NA,1,3,10,0.21,0.22,0.23,NA,NA,NA,31.3,33.5,34.9,17.3,21,23.6,44,46,47,3.7,5,7,42,49,54,19,24,27,18,26,32,0.32,0.32,0,0,0,0,0,0,0,0,0,0,1,2,22.6,27,29.9,NA,NA,NA,19.1,25.4,29.6,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658604,54695488
Btg,NA,B,NA,NA,25,33,55,55,135,140,NA,102,NA,0,0,0,0,0,0,100,100,100,100,100,100,98,99,100,96,98,100,0,3,5,0,0.2,0.5,0,0.3,0.5,0,0.5,1,0.5,0.9,2,0.5,1.1,3,53.5,58,62,NA,NA,NA,NA,NA,NA,38,39,42,0,0,0,0.5,0.75,1,NA,NA,NA,1.38,1.4,1.43,NA,NA,NA,1.7,1.72,1.75,NA,0.1,0.7,1,0.18,0.19,0.2,NA,NA,NA,34,34.4,35.5,21.9,22.7,24.7,43,44,45,6.6,7,7.8,49,51,54,27,28,30,28,31,34,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1,2,28.1,29.2,31.4,NA,NA,NA,25.5,26.7,31,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,5.7,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658604,54695489
Cg,NA,C,NA,NA,55,135,140,200,200,200,NA,65,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,0,3,5,0,0,0.5,0,0.1,0.5,0,0.2,1,0.5,0.9,2,0.7,1.8,3,60,67,75.5,NA,NA,NA,NA,NA,NA,24,30,35,0,0,0,0,0.25,0.5,NA,NA,NA,1.36,1.38,1.39,NA,NA,NA,1.53,1.55,1.64,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,28.5,31,32.9,13.2,16.9,19.9,45,45,46,2.6,3.9,5.9,34,40,46,16,21,25,14,21,27,0.49,0.49,0,0,0,0,0,0,0,0,0,0,1,2,17,22.4,26.2,NA,NA,NA,16.5,22.2,25.8,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658604,54695490
Ap,NA,A,NA,NA,0,0,0,15,20,25,NA,20,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,97,100,0,4,8,0,0.1,0.5,0,0.5,1,0.5,1,2,0.5,1.3,2,0.5,1.1,2,54,63,72,NA,NA,NA,NA,NA,NA,28,33,38,0,0,0,3,3.5,4,NA,NA,NA,1.39,1.41,1.43,NA,NA,NA,1.6,1.62,1.73,NA,1,3,10,0.18,0.19,0.21,NA,NA,NA,32.7,34.5,36.2,19.5,22.9,26.2,41,42,43,3.7,4.8,7,44,50,57,19,23,27,19,26,32,0.28,0.28,0,0,0,0,0,0,0,0,0,0,1,2,23,26.6,30.1,NA,NA,NA,19,24.9,29.8,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658604,54695491
Cg,NA,C,NA,NA,25,125,130,200,200,200,NA,75,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,0,3,5,0,0,0.5,0,0.1,0.5,0,0.2,1,0.5,0.9,2,0.7,1.8,3,60,67,75.5,NA,NA,NA,NA,NA,NA,24,30,35,0,0,0,0,0.25,0.5,NA,NA,NA,1.36,1.38,1.39,NA,NA,NA,1.53,1.55,1.64,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,28.5,31,32.9,13.2,16.9,19.9,45,45,46,2.6,3.9,5.9,34,40,46,16,21,25,14,21,27,0.49,0.49,0,0,0,0,0,0,0,0,0,0,1,2,17,22.4,26.2,NA,NA,NA,16.5,22.2,25.8,5.6,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18658605,54695492
