taxmoistcl,cokey,cotaxmckey
Aquic,18658362,7198393
Aquic,18658363,7198392
Aquic,18658439,7198390
Udic,18658440,7198389
Aquic,18658441,7198391
Aquic,18658603,7198479
Udic,18658604,7198466
Udic,18658605,7198480
Udic,18658606,7198482
