musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
23C,"Arispe silty clay loam, 5 to 9 percent slopes",NA,7,7.1,NA,30,30,None,None,0,4.84,9.61,18.66,27.76,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,3,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.999,Moderate,5,1,408896
362,"Haig silt loam, 0 to 2 percent slopes",NA,1,1,NA,0,0,None,None,0,5.68,9.65,16.26,25.61,Poorly drained,Poorly drained,D,NA,100,2,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,100,1,408925
364B,"Grundy silty clay loam, 2 to 5 percent slopes",NA,4,3.8,NA,30,30,None,None,0,5.52,9.28,15.71,23.79,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,2,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Moderate,10,1,408926
