texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,Yes,Silt loam,54694489,109657954
SICL,No ,No ,Silty clay loam,54694490,109657955
SIL,No ,Yes,Silt loam,54694490,109657956
SIC,No ,Yes,Silty clay,54694491,109657957
SICL,No ,Yes,Silty clay loam,54694492,109657958
SICL,No ,Yes,Silty clay loam,54694493,109657959
SIL,No ,Yes,Silt loam,54694494,109657960
SIC,No ,No ,Silty clay,54694495,109657961
SICL,No ,Yes,Silty clay loam,54694495,109657962
SICL,No ,Yes,Silty clay loam,54694496,109657963
SIC,No ,Yes,Silty clay,54694497,109657964
SICL,No ,Yes,Silty clay loam,54694795,109658463
SIL,No ,Yes,Silt loam,54694796,109658464
SICL,No ,Yes,Silty clay loam,54694797,109658465
SIC,No ,No ,Silty clay,54694797,109658466
SIC,No ,Yes,Silty clay,54694798,109658467
SICL,No ,Yes,Silty clay loam,54694799,109658468
SICL,No ,No ,Silty clay loam,54694800,109658469
SIC,No ,Yes,Silty clay,54694800,109658470
SIC,No ,Yes,Silty clay,54694801,109658471
SICL,No ,Yes,Silty clay loam,54694802,109658472
SICL,No ,Yes,Silty clay loam,54694803,109658473
SICL,No ,Yes,Silty clay loam,54694804,109658474
SIC,No ,Yes,Silty clay,54694805,109658475
C,No ,No ,Clay,54694805,109658476
SIL,No ,Yes,Silt loam,54694806,109658477
SIL,No ,Yes,Silt loam,54694807,109658478
SICL,No ,Yes,Silty clay loam,54695483,109659683
SIC,No ,Yes,Silty clay,54695484,109659684
C,No ,No ,Clay,54695484,109659685
SIC,No ,Yes,Silty clay,54695485,109659686
C,No ,No ,Clay,54695485,109659687
SIC,No ,Yes,Silty clay,54695486,109659688
C,No ,No ,Clay,54695486,109659689
SICL,No ,Yes,Silty clay loam,54695487,109659690
SICL,No ,Yes,Silty clay loam,54695488,109659691
SIC,No ,No ,Silty clay,54695489,109659692
SICL,No ,Yes,Silty clay loam,54695489,109659693
SIL,No ,No ,Silt loam,54695490,109659694
SICL,No ,Yes,Silty clay loam,54695490,109659695
SICL,No ,Yes,Silty clay loam,54695491,109659696
SICL,No ,Yes,Silty clay loam,54695492,109659697
SIL,No ,No ,Silt loam,54695492,109659698
SIC,No ,No ,Silty clay,54695493,109659699
SICL,No ,Yes,Silty clay loam,54695493,109659700
SICL,No ,Yes,Silty clay loam,54695494,109659701
SICL,No ,No ,Silty clay loam,54695495,109659702
C,No ,No ,Clay,54695495,109659703
SIC,No ,Yes,Silty clay,54695495,109659704
SIC,No ,Yes,Silty clay,54695496,109659705
SICL,No ,No ,Silty clay loam,54695496,109659706
C,No ,No ,Clay,54695496,109659707
SICL,No ,No ,Silty clay loam,54695497,109659708
CL,No ,Yes,Clay loam,54695497,109659709
C,No ,No ,Clay,54695497,109659710
SICL,No ,Yes,Silty clay loam,54695498,109659711
SIC,No ,No ,Silty clay,54695499,109659712
SICL,No ,Yes,Silty clay loam,54695499,109659713
