hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,28603447,11893713
Summit,28603449,11893794
Backslope,28603591,11893822
Shoulder,28603591,11893823
Summit,28603660,11893844
Backslope,28603758,11893762
Shoulder,28603758,11893763
Summit,28603760,11893824
Summit,28603824,11893737
Shoulder,28603908,11894009
Summit,28603908,11894010
Shoulder,28603911,11893726
Summit,28603911,11893727
Summit,28604054,11893712
Summit,28604069,11893728
