poreqty.l,poreqty.r,poreqty.h,poresize,porecont,poreshp,rvindicator,chkey,chporeskey
NA,7,NA,,NA,Irregular,Yes,54694799,2378455
NA,7,NA,,NA,Irregular,Yes,54694800,2378456
NA,7,NA,,NA,Irregular,Yes,54694801,2378457
NA,7,NA,,NA,Vesicular,Yes,54694802,2378458
NA,7,NA,,NA,Vesicular,Yes,54694803,2378459
