geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Talf,28603447,10665522
NA,,,Talf,28603449,10665494
NA,Side Slope,,,28603591,10665352
NA,Head Slope,,,28603591,10665353
NA,Side Slope,,,28603758,10665563
NA,Head Slope,,,28603758,10665564
NA,,,Talf,28603760,10665354
NA,Interfluve,,,28603824,10665541
NA,Side Slope,,,28603908,10665485
NA,Side Slope,,,28603911,10665533
NA,Interfluve,,,28604054,10665521
NA,Interfluve,,,28604069,10665534
