unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,54694489,102468974
ML,No ,54694489,102468975
CL,Yes,54694490,102468976
CH,Yes,54694491,102468977
CL,Yes,54694492,102468978
CH,No ,54694492,102468979
CL,Yes,54694493,102468980
CL,Yes,54694494,102468981
ML,No ,54694494,102468982
CL,No ,54694495,102468983
CH,Yes,54694495,102468984
CL,Yes,54694496,102468985
CH,No ,54694496,102468986
CH,Yes,54694497,102468987
CH,No ,54694795,102469387
CL,Yes,54694795,102469388
CL,Yes,54694796,102469389
CH,Yes,54694797,102469390
CL,No ,54694797,102469391
CH,Yes,54694798,102469392
CL,Yes,54694799,102469393
CH,Yes,54694800,102469394
CL,No ,54694800,102469395
CH,Yes,54694801,102469396
CL,Yes,54694802,102469397
CH,No ,54694802,102469398
CL,Yes,54694803,102469399
CH,No ,54694803,102469400
CL,Yes,54694804,102469401
CH,No ,54694804,102469402
CH,Yes,54694805,102469403
ML,Yes,54694806,102469404
CL,Yes,54694807,102469405
CL,Yes,54695483,102470339
CH,No ,54695483,102470340
CH,Yes,54695484,102470341
CH,Yes,54695485,102470342
CH,Yes,54695486,102470343
CL,Yes,54695487,102470344
CH,No ,54695487,102470345
CH,No ,54695488,102470346
CL,Yes,54695488,102470347
CH,Yes,54695489,102470348
CL,No ,54695489,102470349
CL,Yes,54695490,102470350
CL,No ,54695491,102470351
CH,Yes,54695491,102470352
MH,No ,54695491,102470353
CL,Yes,54695492,102470354
CH,Yes,54695493,102470355
CL,No ,54695493,102470356
CL,No ,54695494,102470357
CH,Yes,54695494,102470358
MH,No ,54695494,102470359
CH,Yes,54695495,102470360
CL,No ,54695495,102470361
CH,Yes,54695496,102470362
CL,No ,54695496,102470363
CL,Yes,54695497,102470364
CH,No ,54695497,102470365
CL,Yes,54695498,102470366
CH,No ,54695498,102470367
CH,No ,54695499,102470368
CL,Yes,54695499,102470369
