geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,divides,,NA,NA,Yes,18658362,28603824
Landscape,till plains,,NA,NA,Yes,18658362,28603660
Landform,flats,,NA,NA,Yes,18658363,28603449
Landscape,till plains,,NA,NA,Yes,18658363,28603448
Landform,interfluves,,NA,NA,Yes,18658439,28604054
Landscape,till plains,,NA,NA,Yes,18658439,28603592
Landform,hillslopes,,1,2,Yes,18658440,28603591
Landscape,till plains,,2,NA,Yes,18658440,28603590
Landform,flats,,1,2,Yes,18658441,28603447
Landscape,uplands,,2,NA,Yes,18658441,28603760
Landform,hillslopes,,1,2,Yes,18658603,28603758
Landscape,hills,,2,NA,Yes,18658603,28603845
Landform,hillslopes,,1,2,Yes,18658604,28603908
Landscape,uplands,,2,NA,Yes,18658604,28603856
Landform,hillslopes,,1,2,Yes,18658605,28603911
Landscape,uplands,,2,NA,Yes,18658605,28603858
Landform,interfluves,,1,2,Yes,18658606,28604069
Landscape,till plains,,2,NA,Yes,18658606,28603912
