soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,200,200,200,Moist,195731304,122460178
0,0,0,200,200,200,Moist,195731305,122460179
46,46,76,76,76,76,Wet,195731306,122460180
0,0,0,46,46,76,Moist,195731306,122460181
76,76,76,200,200,200,Moist,195731306,122460182
30,30,41,137,137,137,Wet,195731307,122460183
0,0,0,30,30,41,Moist,195731307,122460184
137,137,137,200,200,200,Moist,195731307,122460185
41,41,61,76,76,76,Wet,195731308,122460186
0,0,0,41,41,61,Moist,195731308,122460187
76,76,76,200,200,200,Moist,195731308,122460188
61,61,76,76,76,76,Wet,195731309,122460189
0,0,0,61,61,76,Moist,195731309,122460190
76,76,76,200,200,200,Moist,195731309,122460191
122,122,137,137,137,137,Wet,195731310,122460192
0,0,0,122,122,137,Moist,195731310,122460193
137,137,137,200,200,200,Moist,195731310,122460194
0,0,0,200,200,200,Moist,195731311,122460195
0,0,0,200,200,200,Moist,195731312,122460196
0,0,0,30,30,46,Moist,195731313,122460197
30,30,46,46,76,76,Wet,195731313,122460198
46,76,76,200,200,200,Moist,195731313,122460199
0,0,0,46,46,61,Moist,195731314,122460200
46,46,61,61,76,76,Wet,195731314,122460201
61,76,76,200,200,200,Moist,195731314,122460202
46,46,76,76,76,76,Wet,195731315,122460203
0,0,0,46,46,76,Moist,195731315,122460204
76,76,76,200,200,200,Moist,195731315,122460205
0,0,0,91,91,122,Moist,195731316,122460206
91,91,122,200,200,200,Wet,195731316,122460207
0,0,0,61,61,107,Moist,195731317,122460208
61,61,107,200,200,200,Wet,195731317,122460209
0,0,0,61,61,107,Moist,195731318,122460210
61,61,107,200,200,200,Wet,195731318,122460211
0,0,0,0,0,30,Moist,195731319,122460212
0,0,30,200,200,200,Wet,195731319,122460213
0,0,0,61,61,91,Moist,195731320,122460214
61,61,91,200,200,200,Wet,195731320,122460215
0,0,0,76,76,107,Moist,195731321,122460216
76,76,107,200,200,200,Wet,195731321,122460217
0,0,0,46,46,91,Moist,195731322,122460218
46,46,91,200,200,200,Wet,195731322,122460219
0,0,0,15,15,46,Moist,195731323,122460220
15,15,46,200,200,200,Wet,195731323,122460221
0,0,0,76,76,107,Moist,195731324,122460222
76,76,107,200,200,200,Wet,195731324,122460223
0,0,0,46,46,91,Moist,195731325,122460224
46,46,91,200,200,200,Wet,195731325,122460225
0,0,0,15,15,61,Moist,195731326,122460226
15,15,61,200,200,200,Wet,195731326,122460227
0,0,0,30,30,61,Moist,195731327,122460228
30,30,61,200,200,200,Wet,195731327,122460229
15,30,46,200,200,203,Moist,195732216,122461942
0,0,0,0,15,30,Moist,195732216,122461943
0,15,30,15,30,46,Wet,195732216,122461944
0,0,0,0,15,30,Moist,195732217,122461945
0,15,30,15,30,46,Wet,195732217,122461946
15,30,46,200,200,203,Moist,195732217,122461947
0,0,0,0,15,30,Moist,195732218,122461948
0,15,30,15,30,46,Moist,195732218,122461949
15,30,46,200,200,203,Moist,195732218,122461950
0,15,30,15,30,46,Moist,195732219,122461951
15,30,46,200,200,203,Moist,195732219,122461952
0,0,0,0,15,30,Moist,195732219,122461953
0,0,0,0,15,30,Moist,195732220,122461954
0,15,30,15,30,46,Moist,195732220,122461955
15,30,46,200,200,203,Moist,195732220,122461956
0,15,30,15,30,46,Moist,195732221,122461957
15,30,46,200,200,203,Moist,195732221,122461958
0,0,0,0,15,30,Moist,195732221,122461959
0,15,30,15,30,46,Moist,195732222,122461960
15,30,46,200,200,203,Moist,195732222,122461961
0,0,0,0,15,30,Moist,195732222,122461962
15,30,46,200,200,203,Moist,195732223,122461963
0,0,0,0,15,30,Moist,195732223,122461964
0,15,30,15,30,46,Wet,195732223,122461965
0,15,30,15,30,46,Wet,195732224,122461966
15,30,46,200,200,203,Moist,195732224,122461967
0,0,0,0,15,30,Moist,195732224,122461968
15,30,46,200,200,203,Moist,195732225,122461969
0,0,0,0,15,30,Moist,195732225,122461970
0,15,30,15,30,46,Wet,195732225,122461971
0,15,30,15,30,46,Wet,195732226,122461972
15,30,46,200,200,203,Moist,195732226,122461973
0,0,0,0,15,30,Moist,195732226,122461974
15,30,46,200,200,203,Moist,195732227,122461975
0,0,0,0,15,30,Moist,195732227,122461976
0,15,30,15,30,46,Wet,195732227,122461977
0,0,0,200,200,200,Moist,195732228,122461978
0,0,0,200,200,200,Moist,195732229,122461979
30,46,60,60,76,96,Wet,195732230,122461980
60,76,96,200,200,200,Moist,195732230,122461981
0,0,0,30,46,60,Moist,195732230,122461982
28,30,41,41,137,140,Wet,195732231,122461983
41,137,140,200,200,200,Moist,195732231,122461984
0,0,0,28,30,41,Moist,195732231,122461985
30,41,61,61,76,96,Wet,195732232,122461986
61,76,96,200,200,200,Moist,195732232,122461987
0,0,0,30,41,61,Moist,195732232,122461988
0,0,0,50,61,76,Moist,195732233,122461989
50,61,76,76,76,96,Wet,195732233,122461990
