rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,Slightly hard,NA,NA,Deformable,Nonsticky,Slightly plastic,Yes,54694494,5712032
Firm,Moderately hard,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,54694495,5711962
Firm,Moderately hard,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,54694496,5711961
Firm,Slightly hard,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,54694497,5712071
Firm,Moderately hard,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,54694795,5711999
Friable,Slightly hard,NA,NA,Deformable,Nonsticky,Slightly plastic,Yes,54694796,5712031
Firm,Moderately hard,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,54694797,5712070
Firm,Slightly hard,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,54694798,5711998
