musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
23C,"Arispe silty clay loam, 5 to 9 percent slopes",Consociation,NA,4171,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,NA,Order 2,66,NA,NA,NA,NA,13698,408896
362,"Haig silt loam, 0 to 2 percent slopes",Consociation,NA,9526,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,83,NA,NA,NA,NA,13698,408925
364B,"Grundy silty clay loam, 2 to 5 percent slopes",Consociation,NA,19680,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,72,NA,NA,NA,NA,13698,408926
