rot,Nrate,apsim_oat,path,date,year,crop_yield,heat_days_in_season,cold_days_in_season,rain_annual,rad_in_season,avg_max_t_in_season,avg_min_t_in_season,gdd_in_season,rain_in_season,rain_apr_jun,rain_above1in_apr_jun,avg_t_apr_jun,cold_apr_jun,heat_july,rad_july,rain_july,avg_t_july,rain_above1in_jul,heat_aug,rad_aug,rain_aug,avg_t_aug,rain_above1in_aug,cold_aug,rad_sep,rain_sep,avg_t_sep,rain_above1in_sep,cold_sep,sow_doy,doy,corn_buac,soy_buac,bioma,root_depth,emerg_doy,flower_date,maturity_date,harvest_doy,fall_frost_doy,lai_maximum,et_annual,crop_transpiration,total_nupt,grainl_nupt,avg_drought_stress,avg_excessive_w_stress,avg_n_stress,avg_wt_inseason,days_w_tbelow50cm,eo_annual,runoff_annual,drainage,nr,gross_miner,net_miner,nloss_total,denitr,n_leach_annual,avg_wt,no3_at_harvest,no3_at_sowing,no3_30cm_harvest,no3_30cm_sowing,crop_yield_kg,soc_7cm,soc_22cm,soc_45cm,soc_75cm,soc_105cm,crop_hi,maize_grains_number,maize_grain_size,residue_w_tat_sowing,residue_nat_sowing,soy_nfixed,stover_wt,stover_nitrogen,stover_cn,fom_january,biom_january,root_wt_at_harv,rs_ratio,nconc_root,nhi_crop,watertable,paddock_soybean_root_depth,paddock_maize_root_depth,paddock_soybean_yield,paddock_maize_yield,paddock_soybean_biomass,paddock_maize_biomass,no3,nh4,surfaceom_wt,surfaceom_n,paddock_soybean_biomass_n,paddock_maize_biomass_n,paddock_soybean_flowering_date,paddock_maize_flowering_date,oxdef_photo,paddock_soybean_root_depth_1,paddock_maize_root_depth_1,paddock_soybean_rootgreenwt,paddock_maize_rootgreenwt,fertiliser,n_fixed_tops,paddock_soybean_rootgreenp,paddock_maize_rootgreenp,root_green_n,troot_n,dnit,dlt_n_min,dlt_n_min_res,dlt_n_min_tot
CC,270,base,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_base.out,2011-12-31,2011,177.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,365,177.453,0,19086.541,1513.636,138,202,256,293,293,4.014,539.161,216.281,216.246,132.927,1.994,1,1.757,1406.851,0,869.666,7.492,79.942,270,138.7,109.2,110.471,87.6,22.967,1210.354,108.7,27,1.035,1.035,9486.485,2.721,1.967,1.444,0.734,0.494,0.508,3110.134,0.305,1350.4,10.9,0,8484.767,77.743,43.656,3064.1,5756.7,1833,0.096,1.07,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,base,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_base.out,2012-12-31,2012,205.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,366,205.433,0,19173.15,1533.527,136,190,239,278,279,3.995,726.134,330.19,223.304,150.453,1.892,1,1.74,1772.99,0,1051.168,10.211,-73.462,270,164,108.9,114.036,85.9,28.137,1368.584,178.1,125,2.295,2.295,10982.243,2.742,1.959,1.442,0.733,0.494,0.584,4064.966,0.27,422.6,3.7,0,7158.851,67.691,42.303,3221.8,5534.9,1709.198,0.089,1.07,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,base,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_base.out,2013-12-31,2013,162.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,365,162.786,0,21131.43,1547.384,149,206,260,281,294,4.251,684.994,318.301,240.738,128.483,1.936,1,1.833,1608.58,6,953.844,24.474,-83.323,270,122.1,91.5,121.996,93.1,28.783,1357.51,165.7,99.4,9.234,9.234,8702.389,2.75,1.953,1.441,0.733,0.494,0.415,3450.551,0.252,838.7,7.5,0,11565.078,107.936,42.859,2475.9,5559.9,2159.23,0.102,1.068,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,base,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_base.out,2014-12-31,2014,192.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,365,192.353,0,18026.422,957.744,132,199,256,290,304,3.577,526.812,219.319,202.57,133.811,1.994,1,1.779,821.766,38,868.974,71.415,364.843,270,95.5,51.1,256.723,178.4,78.295,923.926,90.9,107.4,4.952,4.952,10283.018,2.789,1.95,1.441,0.733,0.494,0.572,3886.133,0.265,1498.4,13.5,0,6872.443,64.404,42.683,3658.2,5491.1,1845.105,0.102,1.07,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,base,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_base.out,2015-12-31,2015,203.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,365,203.393,0,21057.33,1367.183,138,203,259,280,303,4.582,651.724,277.406,233.031,144.074,1.993,1,1.844,1177.956,0,944.236,178.138,235.412,270,150.3,106.1,156.867,117.5,39.381,1047.255,95.5,42.9,1.752,1.752,10873.229,2.801,1.947,1.44,0.732,0.494,0.527,3541.613,0.307,595.5,5.3,0,9147.783,83.775,43.678,3196.9,5945.4,2248.257,0.107,1.068,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,base,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_base.out,2016-12-31,2016,209.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,366,209.157,0,20835.094,1564.719,126,189,240,285,287,4.705,607.86,282.753,232.957,147.942,1.994,1,1.727,1308.791,0,968.359,128.394,168.374,270,170.3,121.7,148.157,108,40.174,1122.12,120.4,42.2,1.143,1.143,11181.364,2.81,1.941,1.439,0.733,0.494,0.543,4476.745,0.25,1161.6,10.1,0,7877.759,76.135,41.388,3097.5,5902.7,2260.467,0.108,1.071,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,oat1,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_oat1.out,2001-12-31,2001,152.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,365,152.083,0,18695.752,1552.558,134,199,248,288,278,3.862,636.15,270.165,211.369,117.712,1.994,1,1.744,1513.521,0,920.321,37.66,70.381,270,129.1,88.2,118.886,86.2,32.805,1219.651,114.6,105.9,54.625,54.625,8130.206,2.561,2.011,1.448,0.731,0.492,0.446,2890.892,0.281,754.7,6.7,0,9250.994,87.084,42.492,2593.1,4891.9,1859.254,0.099,1.07,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,oat1,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_oat1.out,2002-12-31,2002,202.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,365,202.052,0,20359.15,1528.366,128,192,245,281,280,4.074,638.21,299.803,235.204,151.012,1.994,1,1.769,1411.743,3,957.76,56.744,4.949,270,125.1,92.3,127.647,99.8,27.87,1291.644,111.9,81.1,17.579,17.579,10801.496,2.574,2.005,1.448,0.732,0.493,0.543,3658.382,0.295,1199.5,10.6,0,8570.256,79.256,43.254,2996.8,4946.7,1887.778,0.093,1.07,0.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,oat1,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_oat1.out,2003-12-31,2003,208.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,365,208.342,0,21583.861,1280.976,126,198,253,294,273,4.005,651.957,308.886,254.288,162.462,1.991,1,1.756,1295.589,19,932.126,40.981,87.22,270,110.1,76.6,137.451,106.1,31.362,1200.231,65.6,106.2,37.044,37.044,11137.794,2.593,2.001,1.447,0.732,0.493,0.525,3718.222,0.3,1221.2,10.8,0,8910.976,84.151,42.357,3127.3,4964.1,2132.493,0.099,1.07,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,270,oat1,01_sims-oat-by-hand/sims-ames-CCbase/CC_270_oat1.out,2004-12-31,2004,239.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,366,239.422,0,23007.021,1509.738,125,198,263,286,276,4.027,569.58,269.413,241.782,165.306,1.994,1,1.836,1238.772,12,894.613,41.885,189.669,270,98.8,54.3,117.569,91.1,26.373,1097.126,28.7,118.5,55.795,55.795,12799.264,2.626,1.998,1.447,0.732,0.493,0.565,3863.263,0.331,1549.7,13.6,0,9012.754,70.501,51.136,3603.1,5101.7,2227.784,0.097,1.069,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
